order_id,product,quantity,price,date
1001,Keyboard,1,29.99,2025-01-01
1002,Mouse,2,19.99,2025-01-01
1003,Monitor,1,199.99,2025-01-01
1004,Mouse,0,19.99,2025-01-01
1005,Keyboard,1,,2025-01-01
1006,Laptop,1,899.99,2025-01-01
1007,Headset,2,49.99,2025-01-01
1008,USB Cable,3,5.99,2025-01-01
1009,Webcam,1,59.99,2025-01-01
1010,Speakers,1,39.99,2025-01-01
1011,Chair,1,129.99,2025-01-01
1012,Desk,1,249.99,2025-01-01
1013,Lamp,2,14.99,2025-01-01
1014,Notebook,5,2.49,2025-01-01
1015,Pen,10,0.99,2025-01-01
1016,Keyboard,1,29.99,2025-01-01
1017,Mouse,0,,2025-01-01
1018,Monitor,1,199.99,2025-01-01
1019,Laptop,1,899.99,2025-01-01
1020,Headset,1,49.99,2025-01-01
1021,USB Cable,2,5.99,2025-01-01
1022,Webcam,1,59.99,2025-01-01
1023,Speakers,1,39.99,2025-01-01
1024,Chair,1,129.99,2025-01-01
1025,Desk,1,249.99,2025-01-01
1026,Lamp,1,14.99,2025-01-01
1027,Notebook,3,2.49,2025-01-01
1028,Pen,12,0.99,2025-01-01
1029,Keyboard,1,29.99,2025-01-01
1030,Mouse,1,19.99,2025-01-01
1031,Monitor,0,,2025-01-01
1032,Laptop,1,899.99,2025-01-01
1033,Headset,1,49.99,2025-01-01
1034,USB Cable,4,5.99,2025-01-01
1035,Webcam,1,59.99,2025-01-01
1036,Speakers,2,39.99,2025-01-01
1037,Chair,1,129.99,2025-01-01
1038,Desk,1,249.99,2025-01-01
1039,Lamp,2,14.99,2025-01-01
1040,Notebook,4,2.49,2025-01-01
1041,Pen,8,0.99,2025-01-01
1042,Keyboard,1,29.99,2025-01-01
1043,Mouse,0,19.99,2025-01-01
1044,Monitor,1,199.99,2025-01-01
1045,Laptop,1,,2025-01-01
1046,Headset,2,49.99,2025-01-01
1047,USB Cable,1,5.99,2025-01-01
1048,Webcam,1,59.99,2025-01-01
1049,Speakers,1,39.99,2025-01-01
1050,Chair,1,129.99,2025-01-01
1051,Desk,1,249.99,2025-01-01
1052,Lamp,1,14.99,2025-01-01
1053,Notebook,2,2.49,2025-01-01
1054,Pen,15,0.99,2025-01-01
1055,Keyboard,1,29.99,2025-01-01
1056,Mouse,1,19.99,2025-01-01
1057,Monitor,1,199.99,2025-01-01
1058,Laptop,1,899.99,2025-01-01
1059,Headset,0,,2025-01-01
1060,USB Cable,3,5.99,2025-01-01
1061,Webcam,1,59.99,2025-01-01
1062,Speakers,1,39.99,2025-01-01
1063,Chair,1,129.99,2025-01-01
1064,Desk,1,249.99,2025-01-01
1065,Lamp,2,14.99,2025-01-01
1066,Notebook,3,2.49,2025-01-01
1067,Pen,9,0.99,2025-01-01
1068,Keyboard,1,29.99,2025-01-01
1069,Mouse,2,19.99,2025-01-01
1070,Monitor,1,199.99,2025-01-01
1071,Laptop,1,899.99,2025-01-01
1072,Headset,1,49.99,2025-01-01
1073,USB Cable,2,5.99,2025-01-01
1074,Webcam,1,59.99,2025-01-01
1075,Speakers,1,39.99,2025-01-01
1076,Chair,1,129.99,2025-01-01
1077,Desk,1,249.99,2025-01-01
1078,Lamp,1,14.99,2025-01-01
1079,Notebook,4,2.49,2025-01-01
1080,Pen,11,0.99,2025-01-01
1081,Keyboard,1,29.99,2025-01-01
1082,Mouse,0,,2025-01-01
1083,Monitor,1,199.99,2025-01-01
1084,Laptop,1,899.99,2025-01-01
1085,Headset,1,49.99,2025-01-01
1086,USB Cable,3,5.99,2025-01-01
1087,Webcam,1,59.99,2025-01-01
1088,Speakers,1,39.99,2025-01-01
1089,Chair,1,129.99,2025-01-01
1090,Desk,1,249.99,2025-01-01
1091,Lamp,2,14.99,2025-01-01
1092,Notebook,3,2.49,2025-01-01
1093,Pen,7,0.99,2025-01-01
1094,Keyboard,1,29.99,2025-01-01
1095,Mouse,1,19.99,2025-01-01
1096,Monitor,1,199.99,2025-01-01
1097,Laptop,1,899.99,2025-01-01
1098,Headset,1,49.99,2025-01-01
1099,USB Cable,2,5.99,2025-01-01
1100,Webcam,1,59.99,2025-01-01






































































































































































































