order_id,product,quantity,price,date
6001,Keyboard,1,29.99,2025-01-06
6002,Mouse,2,19.99,2025-01-06
6003,Monitor,1,199.99,2025-01-06
6004,Laptop,1,899.99,2025-01-06
6005,Headset,0,,2025-01-06
6006,USB Cable,3,5.99,2025-01-06
6007,Webcam,1,59.99,2025-01-06
6008,Speakers,1,39.99,2025-01-06
6009,Chair,1,129.99,2025-01-06
6010,Desk,1,249.99,2025-01-06
6011,Lamp,2,14.99,2025-01-06
6012,Notebook,4,2.49,2025-01-06
6013,Pen,12,0.99,2025-01-06
6014,Keyboard,1,29.99,2025-01-06
6015,Mouse,0,,2025-01-06
6016,Monitor,1,199.99,2025-01-06
6017,Laptop,1,899.99,2025-01-06
6018,Headset,1,49.99,2025-01-06
6019,USB Cable,2,5.99,2025-01-06
6020,Webcam,1,59.99,2025-01-06
6021,Speakers,1,39.99,2025-01-06
6022,Chair,1,129.99,2025-01-06
6023,Desk,1,249.99,2025-01-06
6024,Lamp,1,14.99,2025-01-06
6025,Notebook,3,2.49,2025-01-06
6026,Pen,9,0.99,2025-01-06
6027,Keyboard,1,29.99,2025-01-06
6028,Mouse,1,19.99,2025-01-06
6029,Monitor,0,,2025-01-06
6030,Laptop,1,899.99,2025-01-06
6031,Headset,2,49.99,2025-01-06
6032,USB Cable,4,5.99,2025-01-06
6033,Webcam,1,59.99,2025-01-06
6034,Speakers,2,39.99,2025-01-06
6035,Chair,1,129.99,2025-01-06
6036,Desk,1,249.99,2025-01-06
6037,Lamp,2,14.99,2025-01-06
6038,Notebook,5,2.49,2025-01-06
6039,Pen,10,0.99,2025-01-06
6040,Keyboard,1,29.99,2025-01-06
6041,Mouse,0,,2025-01-06
6042,Monitor,1,199.99,2025-01-06
6043,Laptop,1,899.99,2025-01-06
6044,Headset,1,49.99,2025-01-06
6045,USB Cable,3,5.99,2025-01-06
6046,Webcam,1,59.99,2025-01-06
6047,Speakers,1,39.99,2025-01-06
6048,Chair,1,129.99,2025-01-06
6049,Desk,1,249.99,2025-01-06
6050,Lamp,1,14.99,2025-01-06
6051,Notebook,2,2.49,2025-01-06
6052,Pen,14,0.99,2025-01-06
6053,Keyboard,1,29.99,2025-01-06
6054,Mouse,1,19.99,2025-01-06
6055,Monitor,1,199.99,2025-01-06
6056,Laptop,1,899.99,2025-01-06
6057,Headset,0,,2025-01-06
6058,USB Cable,3,5.99,2025-01-06
6059,Webcam,1,59.99,2025-01-06
6060,Speakers,1,39.99,2025-01-06
6061,Chair,1,129.99,2025-01-06
6062,Desk,1,249.99,2025-01-06
6063,Lamp,2,14.99,2025-01-06
6064,Notebook,3,2.49,2025-01-06
6065,Pen,8,0.99,2025-01-06
6066,Keyboard,1,29.99,2025-01-06
6067,Mouse,2,19.99,2025-01-06
6068,Monitor,1,199.99,2025-01-06
6069,Laptop,1,899.99,2025-01-06
6070,Headset,1,49.99,2025-01-06
6071,USB Cable,2,5.99,2025-01-06
6072,Webcam,1,59.99,2025-01-06
6073,Speakers,1,39.99,2025-01-06
6074,Chair,1,129.99,2025-01-06
6075,Desk,1,249.99,2025-01-06
6076,Lamp,1,14.99,2025-01-06
6077,Notebook,4,2.49,2025-01-06
6078,Pen,11,0.99,2025-01-06
6079,Keyboard,1,29.99,2025-01-06
6080,Mouse,0,,2025-01-06
6081,Monitor,1,199.99,2025-01-06
6082,Laptop,1,899.99,2025-01-06
6083,Headset,1,49.99,2025-01-06
6084,USB Cable,3,5.99,2025-01-06
6085,Webcam,1,59.99,2025-01-06
6086,Speakers,1,39.99,2025-01-06
6087,Chair,1,129.99,2025-01-06
6088,Desk,1,249.99,2025-01-06
6089,Lamp,2,14.99,2025-01-06
6090,Notebook,3,2.49,2025-01-06
6091,Pen,7,0.99,2025-01-06
6092,Keyboard,1,29.99,2025-01-06
6093,Mouse,1,19.99,2025-01-06
6094,Monitor,1,199.99,2025-01-06
6095,Laptop,1,899.99,2025-01-06
6096,Headset,1,49.99,2025-01-06
6097,USB Cable,2,5.99,2025-01-06
6098,Webcam,1,59.99,2025-01-06
6099,Speakers,1,39.99,2025-01-06
6100,Chair,1,129.99,2025-01-06
