order_id,product,quantity,price,date
10001,Keyboard,1,29.99,2025-01-10
10002,Mouse,2,19.99,2025-01-10
10003,Monitor,1,199.99,2025-01-10
10004,Laptop,1,899.99,2025-01-10
10005,Headset,0,,2025-01-10
10006,USB Cable,3,5.99,2025-01-10
10007,Webcam,1,59.99,2025-01-10
10008,Speakers,1,39.99,2025-01-10
10009,Chair,1,129.99,2025-01-10
10010,Desk,1,249.99,2025-01-10
10011,Lamp,2,14.99,2025-01-10
10012,Notebook,4,2.49,2025-01-10
10013,Pen,12,0.99,2025-01-10
10014,Keyboard,1,29.99,2025-01-10
10015,Mouse,0,,2025-01-10
10016,Monitor,1,199.99,2025-01-10
10017,Laptop,1,899.99,2025-01-10
10018,Headset,1,49.99,2025-01-10
10019,USB Cable,2,5.99,2025-01-10
10020,Webcam,1,59.99,2025-01-10
10021,Speakers,1,39.99,2025-01-10
10022,Chair,1,129.99,2025-01-10
10023,Desk,1,249.99,2025-01-10
10024,Lamp,1,14.99,2025-01-10
10025,Notebook,3,2.49,2025-01-10
10026,Pen,9,0.99,2025-01-10
10027,Keyboard,1,29.99,2025-01-10
10028,Mouse,1,19.99,2025-01-10
10029,Monitor,0,,2025-01-10
10030,Laptop,1,899.99,2025-01-10
10031,Headset,2,49.99,2025-01-10
10032,USB Cable,4,5.99,2025-01-10
10033,Webcam,1,59.99,2025-01-10
10034,Speakers,2,39.99,2025-01-10
10035,Chair,1,129.99,2025-01-10
10036,Desk,1,249.99,2025-01-10
10037,Lamp,2,14.99,2025-01-10
10038,Notebook,5,2.49,2025-01-10
10039,Pen,10,0.99,2025-01-10
10040,Keyboard,1,29.99,2025-01-10
10041,Mouse,0,,2025-01-10
10042,Monitor,1,199.99,2025-01-10
10043,Laptop,1,899.99,2025-01-10
10044,Headset,1,49.99,2025-01-10
10045,USB Cable,3,5.99,2025-01-10
10046,Webcam,1,59.99,2025-01-10
10047,Speakers,1,39.99,2025-01-10
10048,Chair,1,129.99,2025-01-10
10049,Desk,1,249.99,2025-01-10
10050,Lamp,1,14.99,2025-01-10
10051,Notebook,2,2.49,2025-01-10
10052,Pen,14,0.99,2025-01-10
10053,Keyboard,1,29.99,2025-01-10
10054,Mouse,1,19.99,2025-01-10
10055,Monitor,1,199.99,2025-01-10
10056,Laptop,1,899.99,2025-01-10
10057,Headset,0,,2025-01-10
10058,USB Cable,3,5.99,2025-01-10
10059,Webcam,1,59.99,2025-01-10
10060,Speakers,1,39.99,2025-01-10
10061,Chair,1,129.99,2025-01-10
10062,Desk,1,249.99,2025-01-10
10063,Lamp,2,14.99,2025-01-10
10064,Notebook,3,2.49,2025-01-10
10065,Pen,8,0.99,2025-01-10
10066,Keyboard,1,29.99,2025-01-10
10067,Mouse,2,19.99,2025-01-10
10068,Monitor,1,199.99,2025-01-10
10069,Laptop,1,899.99,2025-01-10
10070,Headset,1,49.99,2025-01-10
10071,USB Cable,2,5.99,2025-01-10
10072,Webcam,1,59.99,2025-01-10
10073,Speakers,1,39.99,2025-01-10
10074,Chair,1,129.99,2025-01-10
10075,Desk,1,249.99,2025-01-10
10076,Lamp,1,14.99,2025-01-10
10077,Notebook,4,2.49,2025-01-10
10078,Pen,11,0.99,2025-01-10
10079,Keyboard,1,29.99,2025-01-10
10080,Mouse,0,,2025-01-10
10081,Monitor,1,199.99,2025-01-10
10082,Laptop,1,899.99,2025-01-10
10083,Headset,1,49.99,2025-01-10
10084,USB Cable,3,5.99,2025-01-10
10085,Webcam,1,59.99,2025-01-10
10086,Speakers,1,39.99,2025-01-10
10087,Chair,1,129.99,2025-01-10
10088,Desk,1,249.99,2025-01-10
10089,Lamp,2,14.99,2025-01-10
10090,Notebook,3,2.49,2025-01-10
10091,Pen,7,0.99,2025-01-10
10092,Keyboard,1,29.99,2025-01-10
10093,Mouse,1,19.99,2025-01-10
10094,Monitor,1,199.99,2025-01-10
10095,Laptop,1,899.99,2025-01-10
10096,Headset,1,49.99,2025-01-10
10097,USB Cable,2,5.99,2025-01-10
10098,Webcam,1,59.99,2025-01-10
10099,Speakers,1,39.99,2025-01-10
10100,Chair,1,129.99,2025-01-10
